23,2480
10,2459
10,2403
10,2344
10,2261
10,2192
10,2159
10,2122
10,2075
10,2008
10,1967
10,1914
10,1850
10,1805
10,1729
10,1658
10,1599
10,1523
10,1475
10,1431
10,1383
10,1324
10,1279
10,1215
10,1155
10,1069
1276,6598
495,5837
246,5133
153,4723
106,4427
77,4190
71,3977
71,3761
39,3521
39,3377
39,3296
39,3179
29,3083
29,2932
11,2860
11,2806
11,2723
11,2656
11,2587
11,2501
11,2436
11,2383
11,2316
11,2242
11,2181
11,2116
11,2018
11,1952
11,1880
11,1823
11,1764
11,1685
3,1639
3,1581
0,1552
1255,6925
526,5667
290,4868
171,4347
96,4165
67,3891
67,3746
67,3497
67,3315
67,3090
65,2910
65,2709
65,2535
36,2438
36,2360
36,2240
30,2144
30,2016
30,1960
30,1863
30,1785
30,1689
30,1589
30,1511
30,1409
30,1252
30,1152
30,1041
30,911
30,794
30,707
20,618
20,548
20,437
11,386
11,331
3,292
3,238
3,165
3,113
3,55
Health_Population,Zombie_Population
177,532
Health_Population,Zombie_Population
48,561
Health_Population,Zombie_Population
30,498
Health_Population,Zombie_Population
6,469
Health_Population,Zombie_Population
6,395
Health_Population,Zombie_Population
6,328
Health_Population,Zombie_Population
6,265
Health_Population,Zombie_Population
6,211
Health_Population,Zombie_Population
6,145
Health_Population,Zombie_Population
6,96
Health_Population,Zombie_Population
2,53
Health_Population,Zombie_Population
2,14
Health_Population,Zombie_Population
754,36
Health_Population,Zombie_Population
81,131
Health_Population,Zombie_Population
7,108
Health_Population,Zombie_Population
1,19
Health_Population,Zombie_Population
861,1
Health_Population,Zombie_Population
713,5
Health_Population,Zombie_Population
853,5
Health_Population,Zombie_Population
742,4
Health_Population,Zombie_Population
14,2
Health_Population,Zombie_Population
6,5
Health_Population,Zombie_Population
97,21
Health_Population,Zombie_Population
97,34
Health_Population,Zombie_Population
97,59
Health_Population,Zombie_Population
97,73
Health_Population,Zombie_Population
97,89
Health_Population,Zombie_Population
100,23
Health_Population,Zombie_Population
100,20
Health_Population,Zombie_Population
86,45
Health_Population,Zombie_Population
915,39
Health_Population,Zombie_Population
833,50
Health_Population,Zombie_Population
685,77
Health_Population,Zombie_Population
500,118
Health_Population,Zombie_Population
231,200
Health_Population,Zombie_Population
70,119
Health_Population,Zombie_Population
41,34
Health_Population,Zombie_Population
16,16
Health_Population,Zombie_Population
5,3
Health_Population,Zombie_Population
97823,1545
Health_Population,Zombie_Population
25576,47593
Health_Population,Zombie_Population
6078,50041
Health_Population,Zombie_Population
3196,40986
Health_Population,Zombie_Population
2162,35606
Health_Population,Zombie_Population
1557,31100
Health_Population,Zombie_Population
1172,28254
Health_Population,Zombie_Population
785,26487
Health_Population,Zombie_Population
652,25049
Health_Population,Zombie_Population
623,23547
Health_Population,Zombie_Population
547,22231
Health_Population,Zombie_Population
412,21329
Health_Population,Zombie_Population
349,20630
Health_Population,Zombie_Population
274,20017
Health_Population,Zombie_Population
238,19451
Health_Population,Zombie_Population
235,18910
Health_Population,Zombie_Population
235,18398
Health_Population,Zombie_Population
235,17868
Health_Population,Zombie_Population
204,17467
Health_Population,Zombie_Population
195,16998
Health_Population,Zombie_Population
179,16509
Health_Population,Zombie_Population
169,16013
Health_Population,Zombie_Population
137,15640
Health_Population,Zombie_Population
137,15288
Health_Population,Zombie_Population
121,14941
Health_Population,Zombie_Population
111,14683
Health_Population,Zombie_Population
111,14408
Health_Population,Zombie_Population
109,14104
Health_Population,Zombie_Population
95,13878
Health_Population,Zombie_Population
95,13696
Health_Population,Zombie_Population
95,13462
Health_Population,Zombie_Population
95,13270
Health_Population,Zombie_Population
95,12883
Health_Population,Zombie_Population
95,12659
Health_Population,Zombie_Population
95,12424
Health_Population,Zombie_Population
95,12129
Health_Population,Zombie_Population
95,11863
Health_Population,Zombie_Population
95,11624
Health_Population,Zombie_Population
95,11372
Health_Population,Zombie_Population
91,11151
Health_Population,Zombie_Population
91,10939
Health_Population,Zombie_Population
74,10736
Health_Population,Zombie_Population
74,10537
Health_Population,Zombie_Population
74,10390
Health_Population,Zombie_Population
74,10186
Health_Population,Zombie_Population
74,9955
Health_Population,Zombie_Population
74,9662
Health_Population,Zombie_Population
41,9539
Health_Population,Zombie_Population
41,9416
Health_Population,Zombie_Population
41,9302
Health_Population,Zombie_Population
41,9176
Health_Population,Zombie_Population
41,9067
Health_Population,Zombie_Population
41,8926
Health_Population,Zombie_Population
41,8810
Health_Population,Zombie_Population
41,8732
Health_Population,Zombie_Population
41,8560
Health_Population,Zombie_Population
41,8457
Health_Population,Zombie_Population
41,8354
Health_Population,Zombie_Population
41,8269
Health_Population,Zombie_Population
41,8185
Health_Population,Zombie_Population
41,8066
Health_Population,Zombie_Population
41,7971
Health_Population,Zombie_Population
22,7943
Health_Population,Zombie_Population
22,7826
Health_Population,Zombie_Population
22,7736
Health_Population,Zombie_Population
9,7673
Health_Population,Zombie_Population
9,7610
Health_Population,Zombie_Population
9,7563
Health_Population,Zombie_Population
9,7475
Health_Population,Zombie_Population
9,7419
